	v
0	0,0076704103299999995
1	0,0025565889399999995
2	0,0130637645
3	-0,0051227213700000005
4	-0,0069519566599999996
5	-9,2367986e-05
6	0,0034818244899999995
7	-0,00572524981
8	-0,0014458119
9	-0,0129114433
10	-0,00770829537
11	-0,0009624013210000001
12	-0,0060189951399999995
13	-0,0123520632
14	-0,0033428420799999996
15	0,0027710697200000003
16	-0,0006625911500000001
17	-0,008206341640000002
18	-0,012016536100000001
19	-0,00536369786
20	-0,008404849150000001
21	-0,0159273043
22	-0,0035653690700000002
23	-0,0174812532
24	-0,012948565299999997
25	-0,0263935753
26	-0,013974878899999998
27	-0,016581945
28	-0,010460217800000001
29	-0,0156010707
30	-0,0167314323
31	-0,0183432325
32	-0,0184515095
33	-0,025443821499999998
34	-0,013847225100000003
35	-0,0175002391
36	-0,0197743187
37	-0,0177104775
38	-0,017716274299999998
39	-0,019667456599999997
40	-0,0281581795
41	-0,018574381
42	-0,0259475523
43	-0,0189213095
44	-0,024828908900000002
45	-0,0241870304
46	-0,026738360499999995
47	-0,030447239999999997
48	-0,005847297979999999
49	-0,016470359099999998
50	-0,00990428396
51	-0,0128633471
52	-0,0152317606
53	-0,013581742800000001
54	-0,008360179740000001
55	-0,0164838052
56	-0,0110851034
57	-0,0129892647
58	0,0015998553299999998
59	-0,0148760111
60	-0,0102691805
61	-0,006701445789999999
62	-0,009029685329999999
63	-0,00373764273
64	-0,0111168243
65	-0,017332075500000002
66	-0,0156434236
67	-0,018789743
68	-0,022393393799999998
69	-0,028550461099999997
70	-0,0256521381
71	-0,03766421
72	-0,0330999435
73	-0,03478876
74	-0,034525622
75	-0,0290300407
76	-0,0263503608
77	-0,0178130133
78	-0,025479046499999998
79	-0,0287637606
80	-0,025556493800000007
81	-0,016110314299999998
82	0,000131913481
83	-0,0015490820300000001
84	0,0013126811800000002
85	0,00791934063
86	0,013898761200000002
87	0,0111147414
88	0,00882378786
89	0,013167372
90	0,018898136399999998
91	0,0218701023
92	0,0206560148
93	0,019148059499999998
94	0,0229803905
95	0,026748790799999998
96	0,0285660111
97	0,027022077
98	0,033190758
99	0,025424881899999995
100	0,026343412200000006
101	0,0207214175
102	0,0245238876
103	0,0193055852
104	0,027386322999999997
105	0,0205278796
106	0,0185857286
107	0,0158143804
108	0,0194847792
109	0,020614431399999997
110	0,013426717900000001
111	0,020997777999999998
112	0,016038126
113	0,0149993454
114	0,021335283700000002
115	0,0193130504
116	0,0183256333
117	0,0129208095
118	0,00789289724
119	0,014909388899999997
120	0,017704471399999998
121	0,0200416454
122	0,0171589203
123	0,025366047600000007
124	0,026101165500000002
125	0,0179594364
126	0,0131659472
127	0,0146688033
128	0,022496820299999998
129	0,0183409773
130	0,018653211
131	0,011543161000000001
132	0,012599380400000002
133	0,0179453388
134	0,024536887200000003
135	0,0199700339
136	0,028735938100000007
137	0,0199443016
138	0,0180186759
139	0,014425368999999999
140	0,00922027968
141	0,016603238899999997
142	0,0157664449
143	0,0037222222
144	0,012265368799999999
145	0,013495374
146	0,0051258365399999995
147	-0,0032148480900000007
148	-0,0024092802
149	0,00311296359
150	0,008487795920000001
151	0,006796221329999999
152	0,00163822146
153	0,0081933551
154	0,0034221435599999994
155	0,012515745
156	0,0041222909299999996
157	0,008301951120000001
158	0,00357093645
159	-0,00232840895
160	0,0118111429
161	0,00949550714
162	-0,0073590836800000005
163	0,00254138222
164	0,00108002497
165	0,000706440202
166	-0,00883786414
167	-0,008911827790000002
168	-0,00862373691
169	0,00146249759
170	-0,0019043574
171	-0,005809331609999999
172	-0,00111312612
173	0,00630020033
174	-0,00893998571
175	0,00236993411
176	-5,4632862799999985e-05
177	-0,00446879281
178	0,0063052711
179	-0,00332208156
180	0,00485562256
181	0,006626081389999999
182	-0,000251261844
183	0,000469756734
184	0,00648210459
185	-0,0010408998199999998
186	0,0059631771100000005
187	0,0177811574
188	0,0114631226
189	0,014092556000000001
190	0,006311104570000001
191	0,0076304786799999995
192	0,0019188749500000002
193	0,011451374399999999
194	0,0182973191
195	0,0149539388
196	0,0122782816
197	0,00834825112
198	0,0108844424
199	0,0208759249
200	0,0199320152
201	0,0198780794
202	0,0198709589
203	0,014045149599999997
204	0,020798593400000003
205	0,0146031099
206	0,0194901908
207	0,025087610699999995
208	0,0201849289
209	0,0219595045
210	0,0237767314
211	0,025627308800000005
212	0,0224569965
213	0,0156741673
214	0,0177902927
215	0,0229567518
216	0,0240353657
217	0,0161002036
218	0,015131699599999998
219	0,00618051326
